Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.00024689047663156466,1000.0000000000001,0.9999999999998532,0.0020085351789044604,3.3046957760620265e-05,0.581862746087492,0.08633315189029635,0.030993743698921945,0.26094189693427516,0.037826879252349475,0.9954380845052276,0.0013174197026423657,0.0005388862726716512,5.3801534080096285e-05,0.0021709571103148318,1.1579529278537763e-07,4.881189982304513e-09,2.7171836895097212e-11,8.000801443394869e-13,0.0004762561437463845,4.474026862534729e-06
0.0002471509759749733,1000.0000000000001,0.9999999999998531,0.002015460982579074,3.255732124041963e-05,0.5818580526483718,0.08633045140980618,0.030995056245954663,0.26094170056951976,0.03782672082252819,0.9954349851878416,0.0013196575072245537,0.0005388802397726462,5.368785501942248e-05,0.002171041459135068,1.1579461232897867e-07,4.87128258353919e-09,2.7116837918972673e-11,8.015910662497611e-13,0.00047717078858060643,4.456268612665808e-06
0.00024741147531838194,1000.0000000000001,0.9999999999998531,0.0020252268876583767,3.187898818064063e-05,0.5818514215870674,0.0863266507963595,0.03099690293698324,0.2609414213003785,0.03782649750337226,0.9954306233407261,0.0013228062135667532,0.0005388717257924734,5.352954693131737e-05,0.002171160133710503,1.1579365680695502e-07,4.857485181836994e-09,2.704025058430992e-11,8.037292992412111e-13,0.0004784568238977756,4.43153638895074e-06
0.00024777891903393526,1000.0000000000001,0.9999999999998532,0.0020349889472017894,3.121479797151717e-05,0.5818447782664053,0.08632286001903494,0.030998744198436016,0.2609411394083665,0.03782627436258387,0.9954262730236565,0.0013259458243069845,0.0005388632070534949,5.337358289514212e-05,0.0021712784594557773,1.157927062375295e-07,4.843891516315492e-09,2.696480142420149e-11,8.058755248771386e-13,0.0004797380707637145,4.4071675018051875e-06
0.00024814636274948863,1000.0000000000001,0.9999999999998532,0.002044747040471587,3.0564455523541245e-05,0.5818381230940056,0.08631907894185258,0.03100058011225231,0.2609408549549852,0.03782605140090913,0.9954219342352836,0.0013290763730468465,0.0005388546839260771,5.321991544616526e-05,0.002171396441974242,1.15791760551483e-07,4.83049745655281e-09,2.6890467384651814e-11,8.080294977555137e-13,0.0004810145459747317,4.383154392929842e-06
0.000248513806465042,1000.0000000000001,0.9999999999998531,0.0020545010495616094,2.9927671912673148e-05,0.5818314564687368,0.08631530743156893,0.03100241075870216,0.26094056800044596,0.037825828619071834,0.9954176069723676,0.0013321978936443719,0.000538846156771583,5.3068498170554214e-05,0.0021715140867512033,1.157908196809341e-07,4.817298963736377e-09,2.6817225923320867e-11,8.101909784025186e-13,0.00048228626685899905,4.359489687038267e-06
0.0002488812501805953,1000.0000000000001,0.9999999999998531,0.002064250859349558,2.930416425061006e-05,0.5818247787808917,0.086311545357615,0.0310042362164233,0.2609402786036963,0.037825606017773586,0.9954132912297416,0.0013353104202020233,0.0005388376259425087,5.2919285685221505e-05,0.0021716313991563493,1.1578988355930498e-07,4.804292088905575e-09,2.6745054999761588e-11,8.123597333045161e-13,0.00048355325135006783,4.336166188542316e-06
0.0002492486938961487,1000.0000000000001,0.9999999999998531,0.002073996357448732,2.8693655551951998e-05,0.5818180904123659,0.08630779259203307,0.03100605656245935,0.26093998682244685,0.03782538359769406,0.9954089870004275,0.00133841398705233,0.0005388290917827063,5.2772233610318876e-05,0.0021717483844466206,1.1578895212129265e-07,4.791472970545654e-09,2.6673933061923912e-11,8.145355346542365e-13,0.0004848155178952828,4.3131768755824e-06
0.00024961613761170207,1000.0000000000001,0.9999999999998531,0.002083737434171758,2.8095874637864204e-05,0.581811391736789,0.08630404900943106,0.031007871872287172,0.260939692713192,0.037825161359491155,0.9954046942758801,0.0013415086287453886,0.0005388205546276409,5.2627298541332425e-05,0.002171865047768628,1.1578802530285062e-07,4.778837832140734e-09,2.6603839032344966e-11,8.167181599370621e-13,0.0004860730852593828,4.290514892925688e-06
0.0002499835813272554,1000.0000000000001,0.9999999999998532,0.0020934739824635157,2.7510555956103873e-05,0.5818046831197674,0.08630031448689733,0.031009682219868183,0.26093939633124624,0.0378249393038013,0.995400413045831,0.001344594380035392,0.0005388120148045312,5.248443803254273e-05,0.002171981394161777,1.15787103041151e-07,4.766382980743928e-09,2.653475230034756e-11,8.189073921743927e-13,0.00048732597273644135,4.268173551634429e-06
0.00025035102504280876,1000.0000000000001,0.9999999999998532,0.0021032058978768626,2.693743951966158e-05,0.5817979649189697,0.08629658890397204,0.03101148767766559,0.26093909773075663,0.03782471743123956,0.995396143297999,0.0013476712758765553,0.0005388034726322605,5.234361059226937e-05,0.002172097428558774,1.1578618527454457e-07,4.754104806569232e-09,2.6466652719926574e-11,8.211030203794152e-13,0.0004885742004433856,4.246146328865531e-06
0.00025071846875836213,1000.0000000000001,0.9999999999998531,0.002112933078511338,2.637627074208319e-05,0.5817912374843487,0.08629287214256913,0.031013288316691423,0.2609387969647375,0.03782449574239993,0.995391885019061,0.001350739351393909,0.0005387949284221044,5.220477560734692e-05,0.0021722131557910655,1.1578527194254584e-07,4.741999776351756e-09,2.6399520572003693e-11,8.233048378162718e-13,0.0004898177883879386,4.224426845843172e-06
0.00025108591247391545,1000.0000000000001,0.9999999999998532,0.0021226554249752366,2.5826800339133914e-05,0.5817845011582757,0.08628916408693003,0.031015084206534288,0.26093849408509,0.03782427423785557,0.9953876381943297,0.0013537986418868347,0.0005387863824777,5.206789336807271e-05,0.0021723285805899622,1.1578436298584595e-07,4.730064435565876e-09,2.633333657722777e-11,8.255126426468542e-13,0.0004910567568704108,4.203008880776034e-06
0.0002514533561894688,1000.0000000000001,0.9999999999998531,0.0021323728403580644,2.5288784265163255e-05,0.5817777562756299,0.08628546462359504,0.031016875415377006,0.2609381891426158,0.037824052918158914,0.9953834028069592,0.001356849182825035,0.0005387778350946828,5.193292507196386e-05,0.0021724437075860106,1.1578345834622929e-07,4.718295408771001e-09,2.6268081898345388e-11,8.27726239244475e-13,0.000492291127276848,4.18188637050424e-06
0.0002518207999050222,1000.0000000000001,0.9999999999998532,0.0021420852301798363,2.4761983579810422e-05,0.5817710031639793,0.08628177364134038,0.031018662010034295,0.2609378821870442,0.03782383178384202,0.9953791788388037,0.0013598910098112954,0.0005387692865612775,5.179983271370036e-05,0.002172558541313604,1.1578255796648155e-07,4.70668938992087e-09,2.6203738085201367e-11,8.299454364424458e-13,0.0004935209211526383,4.161053374737857e-06
0.0002521882436205755,1000.0000000000001,0.9999999999998531,0.0021517925023400377,2.4246164316946335e-05,0.5817642421437605,0.08627809103111675,0.031020444055989877,0.2609375732670593,0.03782361083541672,0.9953749662713919,0.0013629241585994712,0.0005387607371590764,5.1668579151714285e-05,0.0021726730862155885,1.1578166179063205e-07,4.695243148255132e-09,2.6140287107796656e-11,8.32170046266706e-13,0.0004947461594664151,4.140504108641103e-06
0.0002525556873361289,1000.0000000000001,0.9999999999998531,0.00216149456707769,2.3741097387243244e-05,0.5817574735284118,0.0862744166860046,0.03102222161742365,0.26093726243031995,0.03782339007337495,0.9953707650839573,0.0013659486650758612,0.0005387521871620503,5.153912808869225e-05,0.0021727873466406717,1.1578076976369042e-07,4.683953526605675e-09,2.6077711347687352e-11,8.343998871389747e-13,0.0004959668645310448,4.120232931772193e-06
0.00025292313105168226,1000.0000000000001,0.9999999999998532,0.0021711913369355153,2.3246558491489628e-05,0.5817506976244954,0.0862707505011743,0.031023994757235857,0.26093694972347836,0.03782316949818899,0.9953665752539016,0.0013689645652272936,0.0005387436368368448,5.141144395479122e-05,0.0021729013268462893,1.1577988183149827e-07,4.672817431103718e-09,2.6015993539682925e-11,8.366347826463738e-13,0.0004971830593804898,4.1002343128604035e-06
0.0002532905747672356,1000.0000000000001,0.9999999999998531,0.0021808827267194484,2.276232801982404e-05,0.5817439147318344,0.08626709237383921,0.03102576353707529,0.26093663519220023,0.03782294911031161,0.995362396759357,0.0013719718951648164,0.0005387350864444099,5.128549199072447e-05,0.0021730150310060843,1.1577899794118261e-07,4.6618318385176635e-09,2.5955116812338897e-11,8.388745577101916e-13,0.0004983947655079967,4.080502866108206e-06
0.00025365801848278895,1000.0000000000001,0.9999999999998532,0.002189600308938279,2.2335156483596404e-05,0.5817378043955541,0.08626380686504952,0.031027351761122316,0.2609363505911226,0.03782275092172957,0.9953586457859768,0.0013746711945036045,0.000538727391243452,5.117358814344747e-05,0.0021731171321083243,1.1577820585270886e-07,4.652071042600214e-09,2.590103325148641e-11,8.408943881539926e-13,0.0004994814823531669,4.062968652547366e-06
0.00025398871782678697,1000.0000000000001,0.9999999999998532,0.0021983134070821795,2.1916006892374985e-05,0.5817316888452857,0.08626052772903506,0.0310289365457772,0.2609360645804055,0.03782255288552191,0.995354903955883,0.0013773636077524158,0.000538719696373748,5.106303553572513e-05,0.002173219015842234,1.1577741695867274e-07,4.64242764734494e-09,2.5847605817321114e-11,8.429179149296783e-13,0.0005005645992441526,4.045642833696072e-06
0.000254319417170785,1000.0000000000001,0.9999999999998531,0.0022070219635811437,2.150472848861533e-05,0.5817255682861595,0.08625725489492245,0.03103051793349486,0.2609357771913742,0.03782235500197927,0.9953511712502087,0.0013800491614255088,0.0005387120020116872,5.095381038196029e-05,0.0021733206850741314,1.1577663122246328e-07,4.632899584184597e-09,2.5794822966679062e-11,8.449450202192993e-13,0.0005016441329867819,4.028521740703015e-06
0.00025465011651478305,1000.0000000000001,0.9999999999998532,0.002215725922250741,2.110117335226928e-05,0.5817194429192157,0.08625398829306907,0.031032095965975694,0.2609354884547563,0.037822157271380226,0.9953474476491553,0.001382727882083281,0.0005387043083294162,5.084588935254512e-05,0.0021734221426167933,1.1577584860802314e-07,4.62348482425549e-09,2.5742673378102337e-11,8.469755892374976e-13,0.0005027201007618657,4.011601778006348e-06
0.00025498081585878106,1000.0000000000001,0.9999999999998532,0.0022244252282693105,2.070519634598179e-05,0.5817133129414814,0.08625072785503766,0.031033670684180854,0.26093519840069324,0.037821959693991304,0.995343733132239,0.0013853997963327494,0.0005386966154950516,5.0739249580046974e-05,0.002173523391231031,1.1577506907989243e-07,4.6141813789499035e-09,2.5691145954912052e-11,8.490095098267067e-13,0.0005037925199036605,3.994879427836414e-06
0.0002553115152027791,1000.0000000000001,0.9999999999998532,0.0022331198281550623,2.0316655061251302e-05,0.5817071785460453,0.0862474735135721,0.031035242128347084,0.26093490705875183,0.03782176227006723,0.9953400276785054,0.0013880649308172482,0.0005386889236728618,5.0633868638993994e-05,0.002173624433627149,1.1577429260319716e-07,4.6049872981450704e-09,2.5640229815167457e-11,8.510466720935123e-13,0.0005048614077243269,3.978351242785987e-06
0.0002556422145467771,1000.0000000000001,0.9999999999998531,0.0022418096697440744,1.9935409767159496e-05,0.5817010399221288,0.08624422520257385,0.031036810338000875,0.26093461445793426,0.03782156499985103,0.9953363312662089,0.0013907233122173663,0.0005386812330231623,5.0529724547159287e-05,0.002173725272465231,1.157735191436201e-07,4.595900670322979e-09,2.558991429255238e-11,8.530869689321857e-13,0.0005059267818252143,3.962013850184643e-06
0.0002559729138907751,1000.0000000000001,0.9999999999998532,0.0022504947021687602,1.9561323360751337e-05,0.5816948972551558,0.08624098285707957,0.031038375351972104,0.2609343206266888,0.03782136788357418,0.9953326438730691,0.001393374967241031,0.0005386735437025162,5.0426795748579e-05,0.002173825910356615,1.1577274866739976e-07,4.586919621082113e-09,2.5540188927909338e-11,8.551302955905134e-13,0.0005069886598733461,3.9458639450826846e-06
0.0002563036132347731,1000.0000000000001,0.9999999999998531,0.0022591748758365752,1.9194261317850452e-05,0.5816887507268218,0.08623774641323882,0.031039937208407666,0.2609340255929203,0.03782117092145681,0.9953289654763248,0.0013960199226243837,0.0005386658558638257,5.0325061110699316e-05,0.0021739263498649474,1.1577198114133652e-07,4.578042312893715e-09,2.549104346788025e-11,8.571765495249065e-13,0.0005080470595463025,3.929898293481366e-06
0.0002566343125787712,1000.0000000000001,0.9999999999998532,0.0022678501424086795,1.8834091644245164e-05,0.5816826005151626,0.08623451580829217,0.031041495944784746,0.26093372938399967,0.037820974113707787,0.9953252960525549,0.0013986582051215603,0.0005386581696562987,5.0224499910743015e-05,0.0021740265935066955,1.1577121653274738e-07,4.5692669439076636e-09,2.5442467858322225e-11,8.592256307493144e-13,0.0005091019987388544,3.9141137258464545e-06
0.0002569650119227692,1000.0000000000001,0.9999999999998532,0.002276520454778939,1.848068482781346e-05,0.5816764467946205,0.0862312909805494,0.03104305159792407,0.26093343202677444,0.03782077746052492,0.9953216355778247,0.0014012898415066558,0.0005386504852255892,5.0125091831770716e-05,0.002174126643752371,1.1577045480948111e-07,4.560591747613944e-09,2.5394452242360847e-11,8.612774415159253e-13,0.0005101534954155863,3.898507140785605e-06
0.0002572957112667672,1000.0000000000001,0.9999999999998532,0.0022851857670532164,1.8133913791838496e-05,0.5816702897361106,0.08622807186936851,0.031044604204002596,0.2609331335475781,0.03782058096209505,0.9953179840278283,0.0014039148585628975,0.0005386428027139337,5.002681695026963e-05,0.002174226503027704,1.157696959399118e-07,4.552014991754264e-09,2.5346986954244046e-11,8.633318861006668e-13,0.0005112015674975328,3.883075497968461e-06
0.00025762641061076523,1000.0000000000001,0.9999999999998532,0.0022938460345290628,1.779365384931474e-05,0.5816641295070856,0.08622485841513552,0.03104615379856606,0.26093283397224,0.037820384618594285,0.9953143413776094,0.0014065332830859852,0.0005386351222600603,4.9929655731924125e-05,0.0021743261737138947,1.1576893989290474e-07,4.543534977959611e-09,2.5300062517465023e-11,8.653888712297126e-13,0.0005122462331355686,3.867815822813487e-06
0.00025795710995476324,1000.0000000000001,0.9999999999998532,0.002302501213675554,1.745978265801535e-05,0.5816579662715985,0.08622165055924401,0.031047700416541223,0.26093253332609445,0.0378201884301881,0.995310707601789,0.0014091451418713798,0.0005386274439993679,4.9833589019959904e-05,0.0021744256581489314,1.1576818663782032e-07,4.535150040726627e-09,2.525366963894579e-11,8.674483057352119e-13,0.0005132875105155831,3.852725198043773e-06
0.0002582878092987613,1000.0000000000001,0.9999999999998532,0.002311151262113438,1.7132180176308668e-05,0.5816518001903652,0.08621844824407546,0.031049244092247904,0.2609322316339902,0.03781999239703149,0.9953070826746677,0.0014117504617212546,0.0005386197680640395,4.973859803115384e-05,0.0021745249586286584,1.1576743614452549e-07,4.526858547077061e-09,2.5207799207077434e-11,8.695101002651552e-13,0.0005143254177445822,3.837800770531959e-06
0.0002586185086427593,1000.0000000000001,0.9999999999998532,0.0023197961385954514,1.6810728619815883e-05,0.5816456314208261,0.08621525141298,0.031050784859410784,0.26093192892029876,0.03781979651926908,0.9953034665699915,0.0014143492694273937,0.0005386120945829717,4.964466434434215e-05,0.0021746240774070435,1.1576668838334305e-07,4.518658895547062e-09,2.516244228622366e-11,8.715741678116076e-13,0.0005153599731255427,3.8230397400613966e-06
0.00025894920798675734,1000.0000000000001,0.9999999999998531,0.002328435802987022,1.6495312418938254e-05,0.5816394601172059,0.08621206001025741,0.031052322751170924,0.2609316252089244,0.0378196007970354,0.9952998592610081,0.0014169415917839835,0.0005386044236818599,4.9551769897093025e-05,0.002174723016697105,1.157659433250605e-07,4.510549515907799e-09,2.5117590115109037e-11,8.736404234531863e-13,0.0005163911950776406,3.80843937014212e-06
0.00025927990733075535,1000.0000000000001,0.9999999999998532,0.002337070216247114,1.6185818177202196e-05,0.5816332864305731,0.08620887398113873,0.031053857800097066,0.26093132052331186,0.0378194052304549,0.9952962607209006,0.001419527455563505,0.0005385967554834866,4.945989697400236e-05,0.0021748217786726207,1.1576520094095425e-07,4.5025288681305725e-09,2.5073234100868274e-11,8.757087837400195e-13,0.0005174191017557206,3.7939969714646392e-06
0.00025961060667475336,1000.0000000000001,0.9999999999998532,0.0023456993404094616,1.588213463036955e-05,0.5816271105088976,0.08620569327176797,0.031055390038196715,0.26093101488645565,0.03781920981964216,0.9952926709222025,0.0014221068875400354,0.000538589090107458,4.936902820450241e-05,0.0021749203654676135,1.1576446120272915e-07,4.494595442214006e-09,2.502936581832655e-11,8.777791675064194e-13,0.000518443711593871,3.7797099202253446e-06
0.00025994130601875143,1000.0000000000001,0.9999999999998531,0.00235432313856389,1.5584152606300428e-05,0.5816209324971081,0.08620251782918456,0.031056919496927016,0.2609307083209078,0.037819014564702075,0.9952890898370118,0.0014246799144497758,0.0005385814276703723,4.9279146550242184e-05,0.002175018779177541,1.1576372408251074e-07,4.486747757061081e-09,2.4985977003714338e-11,8.798514957910026e-13,0.0005194650431713972,3.765575631244902e-06
0.00026027200536274945,1000.0000000000001,0.9999999999998531,0.002362941574838083,1.5291764985575418e-05,0.5816147525371486,0.08619934760130564,0.031058446207205343,0.2609304008487868,0.03781881946572991,0.9952855174373962,0.0014272465630373104,0.0005385737682860896,4.91902353048875e-05,0.0021751170218609365,1.157629895529099e-07,4.478984360490497e-09,2.4943059554403587e-11,8.819256906546092e-13,0.0005204831147246426,3.7515915910267843e-06
0.00026060270470674746,1000.0000000000001,0.9999999999998532,0.0023715546143793574,1.5004866662868997e-05,0.5816085707680322,0.08619618253690944,0.031059970199419727,0.2609300924917849,0.03781862452281153,0.9952819536951528,0.0014298068599844097,0.0005385661120656523,4.9102278079522915e-05,0.002175215095539562,1.1576225758695003e-07,4.471303827924523e-09,2.4900605521887612e-11,8.840016761947982e-13,0.0005214979445217472,3.7377553099870335e-06
0.0002609334040507455,1000.0000000000001,0.9999999999998531,0.002379301707761775,1.4751266245750588e-05,0.5816030057415749,0.08619333835207621,0.0310613394931652,0.2609298142315018,0.03781844920767445,0.9952787537049361,0.0014321057186569245,0.0005385592242615013,4.902391897655822e-05,0.0021753032189915874,1.1576160098747894e-07,4.464461042425069e-09,2.4862786670350446e-11,8.858715338011678e-13,0.0005224085353645787,3.7254270021401482e-06
