Us,Ul,Ut,D,x,x/L,r/R,Solids Holdup
0.4,15,7.3,508,1.25,0.46,0.86,0.054
0.4,15,7.3,508,1.25,0.46,0.95,0.06
0.4,15,7.3,508,1.7,0.64,0,0.047
0.4,15,7.3,508,1.7,0.64,0.2,0.05
0.4,15,7.3,508,1.7,0.64,0.49,0.049
0.4,15,7.3,508,1.7,0.64,0.64,0.05
0.4,15,7.3,508,1.7,0.64,0.76,0.053
0.4,15,7.3,508,1.7,0.64,0.86,0.056
0.4,15,7.3,508,1.7,0.64,0.95,0.06
0.95,11.2,7.1,500,3,0.5,0,0.0832
0.95,11.2,7.1,500,3,0.5,0.2,0.0832
0.95,11.2,7.1,500,3,0.5,0.49,0.0851
0.95,11.2,7.1,500,3,0.5,0.64,0.087
0.95,11.2,7.1,500,3,0.5,0.76,0.0946
0.95,11.2,7.1,500,3,0.5,0.86,0.1019
0.95,11.2,7.1,500,3,0.5,0.95,0.106
1.37,22.4,7.1,500,3,0.5,0,0.0585
1.37,22.4,7.1,500,3,0.5,0.2,0.0585
1.37,22.4,7.1,500,3,0.5,0.49,0.0592
1.37,22.4,7.1,500,3,0.5,0.64,0.0598
1.37,22.4,7.1,500,3,0.5,0.76,0.0681
1.37,22.4,7.1,500,3,0.5,0.86,0.0715
1.37,22.4,7.1,500,3,0.5,0.95,0.0718
0.75,11.2,7.1,500,3.82,0.63,0,0.0727
0.75,11.2,7.1,500,3.82,0.63,0.2,0.0727
0.75,11.2,7.1,500,3.82,0.63,0.49,0.0733
0.75,11.2,7.1,500,3.82,0.63,0.64,0.0738
0.75,11.2,7.1,500,3.82,0.63,0.76,0.0817
0.75,11.2,7.1,500,3.82,0.63,0.86,0.0878
0.75,11.2,7.1,500,3.82,0.63,0.95,0.0913
0.98,11.2,7.1,500,3.82,0.63,0,0.0935
0.98,11.2,7.1,500,3.82,0.63,0.2,0.0935
0.98,11.2,7.1,500,3.82,0.63,0.49,0.0946
0.98,11.2,7.1,500,3.82,0.63,0.64,0.0956
0.98,11.2,7.1,500,3.82,0.63,0.76,0.1054
0.98,11.2,7.1,500,3.82,0.63,0.86,0.1117
0.98,11.2,7.1,500,3.82,0.63,0.95,0.1148
1.16,11.2,7.1,500,3.82,0.63,0,0.1081
1.16,11.2,7.1,500,3.82,0.63,0.2,0.1081
1.16,11.2,7.1,500,3.82,0.63,0.49,0.1088
1.16,11.2,7.1,500,3.82,0.63,0.64,0.1095
1.16,11.2,7.1,500,3.82,0.63,0.76,0.1203
1.16,11.2,7.1,500,3.82,0.63,0.86,0.1251
1.16,11.2,7.1,500,3.82,0.63,0.95,0.127
0.95,22.4,7.1,500,3.82,0.63,0,0.0504
0.95,22.4,7.1,500,3.82,0.63,0.2,0.0504
0.95,22.4,7.1,500,3.82,0.63,0.49,0.0507
0.95,22.4,7.1,500,3.82,0.63,0.64,0.051
0.95,22.4,7.1,500,3.82,0.63,0.76,0.0536
0.95,22.4,7.1,500,3.82,0.63,0.86,0.0571
0.95,22.4,7.1,500,3.82,0.63,0.95,0.06
1.37,22.4,7.1,500,3.82,0.63,0,0.0594
1.37,22.4,7.1,500,3.82,0.63,0.2,0.0594
1.37,22.4,7.1,500,3.82,0.63,0.49,0.0595
1.37,22.4,7.1,500,3.82,0.63,0.64,0.0612
1.37,22.4,7.1,500,3.82,0.63,0.76,0.0628
1.37,22.4,7.1,500,3.82,0.63,0.86,0.0663
1.37,22.4,7.1,500,3.82,0.63,0.95,0.0691
1.19,35,7.1,500,3.82,0.63,0,0.0281
1.19,35,7.1,500,3.82,0.63,0.2,0.0281
1.19,35,7.1,500,3.82,0.63,0.49,0.0274
1.19,35,7.1,500,3.82,0.63,0.64,0.0267
1.19,35,7.1,500,3.82,0.63,0.76,0.0323
1.19,35,7.1,500,3.82,0.63,0.86,0.034
1.19,35,7.1,500,3.82,0.63,0.95,0.0349
1.72,33.6,7.1,500,3.82,0.63,0,0.0378
1.72,33.6,7.1,500,3.82,0.63,0.2,0.0378
1.72,33.6,7.1,500,3.82,0.63,0.49,0.0366
1.72,33.6,7.1,500,3.82,0.63,0.64,0.0354
1.72,33.6,7.1,500,3.82,0.63,0.76,0.0419
1.72,33.6,7.1,500,3.82,0.63,0.86,0.043
1.72,33.6,7.1,500,3.82,0.63,0.95,0.0433
